Tanko ID,Attribute,Previous Value,New Value,Time Comparison Made
1014100,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1014100,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1014100,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1014100,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1014100,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1014910,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1014910,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1014910,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1014910,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1014910,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1014910,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002260,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002260,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002260,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002260,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002260,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1002260,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1007250,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1007250,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1007250,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1007250,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1007250,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1007250,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1014130,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1014130,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1014130,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1014130,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1014130,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1014130,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1009610,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1009610,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1009610,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1009610,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1009610,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1009610,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1003420,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1003420,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1003420,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1003420,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1003420,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1003420,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015240,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015240,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015240,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015240,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015240,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.977000
1015240,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1009290,INSCOMMENT,,Box disconnected check attachments.,2017-10-26 14:03:51.977000
1009290,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1009290,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1009290,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1009290,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1009290,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1009290,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1003150,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1003620,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1008060,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1008060,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1008060,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1008060,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1008060,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1008060,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002650,INSFIXTURE,Choose...,51W VERD-AO18-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002650,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002650,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002650,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002650,INSOLDWATT,Choose...,100,2017-10-26 14:03:51.977000
1002650,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002850,INSFIXTURE,Choose...,92W VERD-AO2-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002850,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002850,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002850,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002850,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.977000
1002850,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015130,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015130,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015130,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015130,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015130,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1015130,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002710,INSFIXTURE,Choose...,103W VERD-G-AO28-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002710,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002710,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002710,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002710,INSOLDWATT,Choose...,150,2017-10-26 14:03:51.977000
1002710,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015480,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015480,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015480,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015480,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015480,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1015480,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015420,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015420,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015420,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015420,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015420,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1015420,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1002490,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1002490,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1002490,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1002490,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1002490,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1002490,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
1015400,INSFIXTURE,Choose...,36W VERD-AO16-D-U-T3-4N7-AP,2017-10-26 14:03:51.977000
1015400,INSVOLTAGE,Choose...,120,2017-10-26 14:03:51.977000
1015400,INSPCSC,Choose...,Photocell,2017-10-26 14:03:51.977000
1015400,INSOLDLAMP,Choose...,HPS,2017-10-26 14:03:51.977000
1015400,INSOLDWATT,Choose...,70,2017-10-26 14:03:51.977000
1015400,INSCOMPLET,Not Yet Installed,Installed,2017-10-26 14:03:51.977000
